Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
0,AMD Athlon 64 3500+,CPU,2007-02-20,65.0,45.0,77.0,122.0,2200.0,Unknown,AMD,,,
1,AMD Athlon 200GE,CPU,2018-09-06,14.0,35.0,192.0,4800.0,3200.0,Unknown,AMD,,,
2,Intel Core i5-1145G7,CPU,2020-09-02,10.0,28.0,,,2600.0,Intel,Intel,,,
3,Intel Xeon E5-2603 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,1800.0,Intel,Intel,,,
4,AMD Phenom II X4 980 BE,CPU,2011-05-03,45.0,125.0,258.0,758.0,3700.0,Unknown,AMD,,,
5,Intel Xeon E5-2470 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2400.0,Intel,Intel,,,
6,AMD Phenom X4 9750 (125W),CPU,2008-03-27,65.0,125.0,285.0,450.0,2400.0,Unknown,AMD,,,
7,Intel Pentium D 930,CPU,2006-01-16,65.0,130.0,140.0,376.0,3000.0,Intel,Intel,,,
8,Intel Core i3-1125G4,CPU,2020-09-02,10.0,28.0,,,2000.0,Intel,Intel,,,
9,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,156.0,154.0,2200.0,Unknown,AMD,,,
10,AMD Sempron 2800+,CPU,2004-08-01,130.0,62.0,80.0,37.0,1992.0,Unknown,AMD,,,
11,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,,,
12,AMD C-70,CPU,2012-09-01,40.0,9.0,75.0,,1000.0,Unknown,AMD,,,
13,Intel Core i5-8269U,CPU,2018-04-05,14.0,28.0,123.0,,2600.0,Intel,Intel,,,
14,AMD Phenom X4 9600 BE,CPU,2007-12-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
15,Intel Pentium 3560Y,CPU,2013-09-01,22.0,12.0,118.0,1400.0,1200.0,Intel,Intel,,,
16,AMD Turion X2 Ultra ZM-84,CPU,2008-09-01,65.0,35.0,,,2300.0,Unknown,AMD,,,
17,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,,,
18,Intel Xeon E5-2430 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel,,,
19,AMD Athlon 64 X2 4800+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2400.0,Unknown,AMD,,,
20,Intel Core i5-3427U,CPU,2012-06-01,22.0,17.0,118.0,,1800.0,Intel,Intel,,,
21,AMD Opteron 148 HE,CPU,2004-12-01,90.0,55.0,,106.0,2200.0,Unknown,AMD,,,
22,AMD Athlon 1100,CPU,2000-08-14,180.0,60.0,120.0,37.0,1100.0,Unknown,AMD,,,
23,Intel Core i7-975,CPU,2009-06-02,45.0,130.0,263.0,731.0,3333.0,Intel,Intel,,,
24,AMD Athlon 64 3500+,CPU,2001-01-01,90.0,67.0,115.0,105.0,2200.0,Unknown,AMD,,,
25,Intel Pentium 4 HT 672,CPU,2005-11-14,90.0,84.0,109.0,169.0,3800.0,Intel,Intel,,,
26,Intel Pentium D 830,CPU,2005-05-26,90.0,130.0,206.0,169.0,3000.0,Intel,Intel,,,
27,AMD EPYC 7371,CPU,2018-11-16,14.0,170.0,213.0,4800.0,3100.0,GF,AMD,,,
28,Intel Pentium 4 HT 550,CPU,2004-06-21,90.0,115.0,109.0,125.0,3400.0,Intel,Intel,,,
29,Intel Pentium III 1266S,CPU,2001-07-01,130.0,30.0,80.0,44.0,1266.0,Intel,Intel,,,
30,AMD Sempron 140,CPU,2009-07-22,45.0,45.0,117.0,234.0,2700.0,Unknown,AMD,,,
31,AMD EPYC 7501,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2000.0,GF,AMD,,,
32,Intel Atom E680,CPU,2010-09-14,45.0,4.0,26.0,47.0,1600.0,Intel,Intel,,,
33,Intel Xeon E5-2690 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3000.0,Intel,Intel,,,
34,Intel Xeon Platinum 8380,CPU,2021-04-06,10.0,270.0,,,2300.0,Intel,Intel,,,
35,Intel Xeon Phi 7120A,CPU,2014-04-06,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,,,
36,Intel Core i3-8020,CPU,2018-09-01,14.0,65.0,,,3700.0,Intel,Intel,,,
37,Intel Atom S1220,CPU,2012-12-11,32.0,8.0,,,1600.0,Intel,Intel,,,
38,AMD Phenom X4 9600,CPU,2007-11-19,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
39,Intel Core i3-2330M,CPU,2011-06-01,32.0,35.0,149.0,624.0,2200.0,Intel,Intel,,,
40,AMD Opteron X2 180,CPU,2005-09-26,90.0,110.0,,233.0,2400.0,Unknown,AMD,,,
41,AMD E2-3200,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2400.0,Unknown,AMD,,,
42,AMD Turion 64 MT-34,CPU,2005-03-10,90.0,25.0,125.0,114.0,1800.0,Unknown,AMD,,,
43,Intel Pentium III  866,CPU,2001-06-01,180.0,38.0,80.0,44.0,866.0,Intel,Intel,,,
44,Intel Core 2 Quad Q9550S,CPU,2009-01-27,45.0,65.0,107.0,820.0,2833.0,Intel,Intel,,,
45,Intel Core i7-4500U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1800.0,Intel,Intel,,,
46,AMD Opteron X2 185,CPU,2006-03-06,90.0,110.0,,233.0,2600.0,Unknown,AMD,,,
47,Intel Core i3-8300,CPU,2018-02-14,14.0,62.0,,,3700.0,Intel,Intel,,,
48,AMD Ryzen 5 1400,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,
49,AMD A4-3300M,CPU,2011-06-14,32.0,35.0,228.0,1178.0,1900.0,Unknown,AMD,,,
50,Intel Xeon 3.20,CPU,2003-10-06,130.0,97.0,237.0,286.0,3200.0,Intel,Intel,,,
51,AMD Opteron 848,CPU,2004-12-01,90.0,85.0,,106.0,2200.0,Unknown,AMD,,,
52,Intel Core 2 Extreme QX6700,CPU,2006-11-01,65.0,130.0,143.0,582.0,2666.0,Intel,Intel,,,
53,Intel Pentium Gold G6405T,CPU,2021-03-16,14.0,35.0,,,3500.0,Intel,Intel,,,
54,AMD A6-3600,CPU,2011-06-30,32.0,65.0,228.0,1178.0,2100.0,Unknown,AMD,,,
55,Intel Xeon Phi 7120X,CPU,2013-06-17,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,,,
56,Intel Core i9-10900K,CPU,2020-04-30,14.0,125.0,206.0,,3700.0,Intel,Intel,,,
57,Intel Pentium 2129Y,CPU,2012-09-01,22.0,10.0,118.0,1400.0,1100.0,Intel,Intel,,,
58,AMD Athlon 64 X2 5600+,CPU,2006-12-12,90.0,89.0,220.0,227.0,2800.0,Unknown,AMD,,,
59,AMD Athlon II X4 640,CPU,2010-05-11,45.0,95.0,169.0,300.0,3000.0,Unknown,AMD,,,
60,Intel Atom Z515,CPU,2009-04-08,45.0,1.0,26.0,47.0,1200.0,Intel,Intel,,,
61,AMD EPYC 7302,CPU,2019-08-07,7.0,155.0,74.0,3800.0,3000.0,TSMC,AMD,,,
62,Intel Celeron 3205U,CPU,2015-03-01,14.0,15.0,,,1500.0,Intel,Intel,,,
63,Intel Core i3-10305T,CPU,2021-03-16,14.0,35.0,,,3000.0,Intel,Intel,,,
64,AMD Ryzen 9 5900HX,CPU,2021-01-12,7.0,45.0,156.0,9800.0,3300.0,TSMC,AMD,,,
65,AMD EPYC 7502,CPU,2019-08-07,7.0,180.0,74.0,3800.0,2500.0,TSMC,AMD,,,
66,AMD Athlon 64 4000+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2600.0,Unknown,AMD,,,
67,Intel Pentium III 1400S,CPU,2002-01-08,130.0,32.0,80.0,44.0,1400.0,Intel,Intel,,,
68,Intel Core i7-9850HE,CPU,NaT,14.0,45.0,149.0,,2700.0,Intel,Intel,,,
69,AMD Mobile Athlon 64 3400+,CPU,2005-08-01,130.0,82.0,193.0,106.0,2200.0,Unknown,AMD,,,
70,Intel Xeon E5-2620 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2100.0,Intel,Intel,,,
71,Intel Core i9-10850K,CPU,2020-07-27,14.0,125.0,206.0,,3600.0,Intel,Intel,,,
72,Intel Core i5-11600,CPU,2021-03-16,14.0,65.0,,,2800.0,Intel,Intel,,,
73,Intel Core i7-3555LE,CPU,2012-06-03,22.0,25.0,118.0,,2500.0,Intel,Intel,,,
74,Intel Xeon E3-1220L v2,CPU,2012-05-14,22.0,17.0,,,2300.0,Intel,Intel,,,
75,Intel Core i3-8130U,CPU,2018-02-13,14.0,15.0,123.0,,2400.0,Intel,Intel,,,
76,Intel Xeon Platinum 8260,CPU,2018-12-11,14.0,165.0,,8000.0,2400.0,Intel,Intel,,,
77,AMD Athlon 64 3500+,CPU,2005-05-31,90.0,67.0,156.0,154.0,2200.0,Unknown,AMD,,,
78,AMD Ryzen 9 5950X,CPU,2020-11-05,7.0,105.0,,,3400.0,TSMC,AMD,,,
79,Intel Atom N2600,CPU,2011-12-01,32.0,4.0,66.0,176.0,1600.0,Intel,Intel,,,
80,Intel Xeon Platinum 8352M,CPU,2021-04-06,10.0,185.0,,,2300.0,Intel,Intel,,,
81,AMD EPYC 7763,CPU,2021-03-15,7.0,280.0,,,2450.0,TSMC,AMD,,,
82,Intel Core i7-8809G,CPU,2018-02-01,14.0,65.0,,,3100.0,Intel,Intel,,,
83,AMD Ryzen Threadripper PRO 3955WX,CPU,2020-07-14,7.0,280.0,74.0,3800.0,3900.0,TSMC,AMD,,,
84,Intel Celeron 2980U,CPU,2013-09-01,22.0,15.0,118.0,1400.0,1600.0,Intel,Intel,,,
85,AMD Athlon 64 X2 4000+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2000.0,Unknown,AMD,,,
86,Intel Xeon E5-2630L v2,CPU,2013-09-01,22.0,60.0,160.0,1400.0,2400.0,Intel,Intel,,,
87,Intel Core i5-3570,CPU,2012-06-01,22.0,77.0,133.0,,3400.0,Intel,Intel,,,
88,AMD Ryzen 7 3750H,CPU,2019-01-06,12.0,35.0,210.0,4940.0,2300.0,GF,AMD,,,
89,Intel A110,CPU,2007-06-01,90.0,3.0,66.0,176.0,800.0,Intel,Intel,,,
90,AMD Ryzen 5 5500U,CPU,2021-01-12,7.0,25.0,156.0,9800.0,2100.0,TSMC,AMD,,,
91,Intel Core i9-10800F,CPU,2020-04-30,14.0,65.0,,,2700.0,Intel,Intel,,,
92,Intel Xeon MP 3.50,CPU,2005-03-29,90.0,135.0,,,3500.0,Intel,Intel,,,
93,Intel Core i3-10110U,CPU,2019-08-21,14.0,25.0,,,2100.0,Intel,Intel,,,
94,Intel Core i3-10305,CPU,2021-03-16,14.0,65.0,,,3800.0,Intel,Intel,,,
95,Intel Core Solo T1350,CPU,2006-01-05,65.0,27.0,90.0,151.0,1866.0,Intel,Intel,,,
96,AMD A4-5300B,CPU,2012-10-02,32.0,65.0,246.0,1178.0,3400.0,Unknown,AMD,,,
97,Intel Core Duo T2600,CPU,2006-01-05,65.0,31.0,90.0,151.0,2166.0,Intel,Intel,,,
98,Intel Pentium G4500,CPU,2015-09-01,14.0,51.0,150.0,1400.0,3500.0,Intel,Intel,,,
99,AMD A8-5600K,CPU,2012-10-02,32.0,100.0,246.0,1178.0,3600.0,Unknown,AMD,,,
100,AMD Athlon XP 2600+,CPU,2002-10-01,130.0,68.0,80.0,37.0,2133.0,Unknown,AMD,,,
101,AMD Athlon 64 3000+,CPU,2003-12-15,130.0,89.0,193.0,69.0,2000.0,Unknown,AMD,,,
102,Intel Pentium D 945,CPU,2006-07-23,65.0,95.0,140.0,376.0,3400.0,Intel,Intel,,,
103,Intel Celeron B800,CPU,2011-06-19,32.0,35.0,131.0,504.0,1500.0,Intel,Intel,,,
104,Intel Atom E665C,CPU,2010-11-22,45.0,4.0,26.0,47.0,1300.0,Intel,Intel,,,
105,AMD E1-2150,CPU,2014-02-01,32.0,9.0,246.0,1178.0,1050.0,Unknown,AMD,,,
106,Intel Core i5-10210U,CPU,2019-08-21,14.0,25.0,,,1600.0,Intel,Intel,,,
107,AMD Athlon Gold 3150G,CPU,2020-07-21,12.0,65.0,,,3500.0,GF,AMD,,,
108,Intel Celeron 2.70,CPU,2003-09-24,130.0,73.0,146.0,55.0,2700.0,Intel,Intel,,,
109,Intel Xeon Gold 5318N,CPU,2021-04-06,10.0,150.0,,,2100.0,Intel,Intel,,,
110,AMD Athlon 64 3500+,CPU,2007-02-20,90.0,62.0,230.0,227.0,2200.0,Unknown,AMD,,,
111,AMD Sempron 3400+ EE SFF,CPU,2006-05-23,90.0,35.0,103.0,81.0,1800.0,Unknown,AMD,,,
112,Intel Core i7-3525M,CPU,2012-11-01,22.0,35.0,160.0,1480.0,2900.0,Intel,Intel,,,
113,AMD A6-3410MX,CPU,2011-06-14,32.0,45.0,228.0,1178.0,1600.0,Unknown,AMD,,,
114,Intel Core i5-450M,CPU,2010-09-26,32.0,35.0,81.0,382.0,2400.0,Intel,Intel,,,
115,AMD Opteron A1150,CPU,2016-01-14,28.0,32.0,,,1700.0,Unknown,AMD,,,
116,Intel Pentium G3430,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3300.0,Intel,Intel,,,
117,Intel Core i7-10610U,CPU,2020-04-02,14.0,25.0,,,1800.0,Intel,Intel,,,
118,Intel Core i5-4210U,CPU,2014-04-14,22.0,15.0,118.0,1400.0,1700.0,Intel,Intel,,,
119,Intel Core 2 Duo E6420,CPU,2007-04-01,65.0,65.0,111.0,167.0,2133.0,Intel,Intel,,,
120,AMD Athlon XP 1900+,CPU,2001-11-05,180.0,68.0,150.0,37.0,1600.0,Unknown,AMD,,,
121,Intel Pentium III 1400,CPU,2001-12-01,130.0,31.0,80.0,44.0,1400.0,Intel,Intel,,,
122,AMD Athlon 64 3000+,CPU,2005-04-14,130.0,62.0,,105.0,1800.0,Unknown,AMD,,,
123,Intel Xeon E3-1290 v2,CPU,2012-05-14,22.0,87.0,160.0,1400.0,3700.0,Intel,Intel,,,
124,AMD Phenom X3 8550,CPU,2008-04-23,65.0,95.0,285.0,450.0,2200.0,Unknown,AMD,,,
125,Intel Core i5-8600K,CPU,2017-10-05,14.0,95.0,,,3600.0,Intel,Intel,,,
126,Intel Xeon Platinum 8356H,CPU,2021-04-06,14.0,190.0,,,3900.0,Intel,Intel,,,
127,AMD Athlon XP 2200+,CPU,2002-06-10,130.0,68.0,80.0,37.0,1800.0,Unknown,AMD,,,
128,AMD Athlon Silver PRO 3125GE,CPU,2020-07-21,12.0,35.0,,,3400.0,GF,AMD,,,
129,Intel Mobile Pentium 4 HT 538,CPU,2004-06-01,90.0,88.0,112.0,125.0,3200.0,Intel,Intel,,,
130,Intel Core i7-8700,CPU,2018-01-01,14.0,65.0,154.0,,3200.0,Intel,Intel,,,
131,Intel Pentium Dual-Core E2220,CPU,2008-03-02,65.0,65.0,77.0,105.0,2400.0,Intel,Intel,,,
132,AMD Ryzen 5 4600U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,2100.0,TSMC,AMD,,,
133,AMD Ryzen Threadripper 2970WX,CPU,2018-10-02,12.0,250.0,213.0,19200.0,3000.0,GF,AMD,,,
134,AMD Opteron X2 875 HE,CPU,2006-02-01,90.0,55.0,,233.0,2200.0,Unknown,AMD,,,
135,Intel Atom Z605,CPU,2010-05-04,45.0,2.0,65.0,140.0,1000.0,Intel,Intel,,,
136,Intel Xeon Platinum 8351N,CPU,2021-04-06,10.0,225.0,,,2400.0,Intel,Intel,,,
137,Intel Atom N475,CPU,2010-06-01,45.0,7.0,66.0,123.0,1834.0,Intel,Intel,,,
138,Intel Core i5-3350P,CPU,2012-09-03,22.0,69.0,133.0,,3100.0,Intel,Intel,,,
139,Intel Xeon E5-1660 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3700.0,Intel,Intel,,,
140,AMD Sempron 3300+,CPU,2005-07-15,90.0,62.0,,69.0,2000.0,Unknown,AMD,,,
141,AMD Ryzen 5 PRO 2600,CPU,2018-09-19,12.0,65.0,192.0,4800.0,3400.0,GF,AMD,,,
142,AMD Phenom X4 9450e,CPU,2008-10-01,65.0,65.0,285.0,450.0,2100.0,Unknown,AMD,,,
143,AMD A4-3420,CPU,2011-12-20,32.0,65.0,228.0,1178.0,2800.0,Unknown,AMD,,,
144,Intel Pentium 4 1.80,CPU,2001-08-27,180.0,67.0,217.0,42.0,1800.0,Intel,Intel,,,
145,AMD Opteron 248,CPU,2004-12-01,90.0,85.0,,106.0,2200.0,Unknown,AMD,,,
146,Intel Pentium 4 506,CPU,2005-06-01,90.0,84.0,109.0,125.0,2660.0,Intel,Intel,,,
147,Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,160.0,1400.0,2800.0,Intel,Intel,,,
148,Intel Pentium 4 2.53,CPU,2002-05-06,130.0,110.0,146.0,55.0,2527.0,Intel,Intel,,,
149,Intel Mobile Pentium 4 2.40,CPU,2003-06-11,130.0,60.0,131.0,55.0,2400.0,Intel,Intel,,,
150,Intel Xeon Phi 7110P,CPU,2012-11-12,22.0,300.0,350.0,5000.0,1250.0,Intel,Intel,,,
151,Intel Core i3-7300,CPU,2017-01-03,14.0,51.0,,,4000.0,Intel,Intel,,,
152,Intel Core i7-3520M,CPU,2012-06-03,22.0,35.0,118.0,,2900.0,Intel,Intel,,,
153,AMD Turion 64 MT-30,CPU,2005-03-10,90.0,22.0,125.0,114.0,1600.0,Unknown,AMD,,,
154,AMD Sempron LE-1300,CPU,2007-10-08,65.0,45.0,,,2300.0,Unknown,AMD,,,
155,Intel Atom Z625,CPU,2010-05-04,45.0,2.0,65.0,140.0,1900.0,Intel,Intel,,,
156,Intel Core i5-4200U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1600.0,Intel,Intel,,,
157,Intel Pentium E5700,CPU,2010-08-08,45.0,65.0,82.0,228.0,3000.0,Intel,Intel,,,
158,Intel Core i3-3110M,CPU,2012-06-01,22.0,35.0,118.0,,2400.0,Intel,Intel,,,
159,Intel Pentium G3420T,CPU,2013-09-01,22.0,35.0,177.0,1400.0,2700.0,Intel,Intel,,,
160,AMD E1-1500,CPU,2013-01-06,40.0,18.0,75.0,,1480.0,Unknown,AMD,,,
161,AMD A10-9700E,CPU,2017-07-27,28.0,35.0,246.0,1178.0,3000.0,Unknown,AMD,,,
162,Intel Pentium 4-M 2.00,CPU,2002-06-24,130.0,32.0,131.0,55.0,2000.0,Intel,Intel,,,
163,Intel Xeon E5620,CPU,2010-03-16,32.0,80.0,239.0,1170.0,2400.0,Intel,Intel,,,
164,Intel Core i3-3120M,CPU,2012-09-30,22.0,35.0,118.0,,2500.0,Intel,Intel,,,
165,AMD Opteron 6274,CPU,2011-11-14,32.0,115.0,316.0,2400.0,2200.0,Unknown,AMD,,,
166,AMD Ryzen 7 1800X,CPU,2017-03-02,14.0,95.0,192.0,4800.0,3600.0,GF,AMD,,,
167,Intel Core i3-3120ME,CPU,2012-08-01,22.0,35.0,118.0,,2400.0,Intel,Intel,,,
168,AMD Ryzen 3 3200U,CPU,2019-01-06,12.0,15.0,210.0,4940.0,2600.0,GF,AMD,,,
169,Intel Xeon E-2124G,CPU,2018-05-31,14.0,72.0,126.0,1400.0,3400.0,Intel,Intel,,,
170,AMD Athlon 700,CPU,2000-06-05,180.0,40.0,120.0,37.0,700.0,Unknown,AMD,,,
171,AMD Athlon 64 2700+,CPU,2004-04-27,130.0,32.0,144.0,69.0,1600.0,Unknown,AMD,,,
172,AMD Ryzen 7 2700X,CPU,2018-04-19,12.0,105.0,192.0,4800.0,3700.0,GF,AMD,,,
173,AMD Ryzen Embedded V1807B,CPU,2018-02-21,14.0,45.0,210.0,4950.0,3350.0,GF,AMD,,,
174,AMD Athlon II X3 415e,CPU,2010-05-11,45.0,45.0,169.0,300.0,2500.0,Unknown,AMD,,,
175,Intel Core i5-2310,CPU,2011-05-22,32.0,95.0,216.0,1160.0,2900.0,Intel,Intel,,,
176,AMD FX-8320,CPU,2012-10-23,32.0,125.0,315.0,1200.0,3500.0,Unknown,AMD,,,
177,Intel Core i7-10700K,CPU,2020-04-30,14.0,125.0,,,3800.0,Intel,Intel,,,
178,AMD Opteron 6386 SE,CPU,2012-11-05,32.0,140.0,315.0,2400.0,2800.0,Unknown,AMD,,,
179,AMD Opteron X2 875,CPU,2005-09-26,90.0,95.0,,233.0,2200.0,Unknown,AMD,,,
180,Intel Celeron 877,CPU,2012-07-01,32.0,17.0,131.0,504.0,1400.0,Intel,Intel,,,
181,AMD Phenom II X6 1100T BE,CPU,2010-12-07,45.0,125.0,346.0,904.0,3300.0,Unknown,AMD,,,
182,Intel Core i3-5157U,CPU,2015-03-01,14.0,28.0,,,2500.0,Intel,Intel,,,
183,Intel Core i3-4130,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3400.0,Intel,Intel,,,
184,Intel Core i7-3910K,CPU,2013-07-24,32.0,130.0,435.0,2270.0,3000.0,Intel,Intel,,,
185,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,,,
186,Intel Core i7-8670T,CPU,2018-09-01,14.0,35.0,,,2300.0,Intel,Intel,,,
187,AMD Opteron 144,CPU,2005-08-02,90.0,67.0,,106.0,1800.0,Unknown,AMD,,,
188,Intel Core i7-5650U,CPU,2015-03-01,14.0,15.0,,,2200.0,Intel,Intel,,,
189,Intel Pentium 4 HT 515,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,,,
190,AMD Opteron 242,CPU,2004-05-18,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,
191,Intel Core i5-7600,CPU,2017-01-03,14.0,65.0,,,3500.0,Intel,Intel,,,
192,Intel Xeon 2.8,CPU,2005-10-10,90.0,135.0,213.0,200.0,2800.0,Intel,Intel,,,
193,Intel Core 2 Duo E7600,CPU,2009-05-10,45.0,65.0,82.0,228.0,3067.0,Intel,Intel,,,
194,Intel Core i7-9700K,CPU,2018-10-19,14.0,95.0,,,3600.0,Intel,Intel,,,
195,AMD Phenom II X4 910,CPU,2009-02-09,45.0,95.0,258.0,758.0,2600.0,Unknown,AMD,,,
196,AMD EPYC 73F3,CPU,2021-03-15,7.0,240.0,,,3500.0,TSMC,AMD,,,
197,AMD Sempron 2500+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1750.0,Unknown,AMD,,,
198,Intel Pentium G3450,CPU,2014-05-01,22.0,54.0,177.0,1400.0,3300.0,Intel,Intel,,,
199,AMD EPYC 7601,CPU,2017-06-29,14.0,180.0,213.0,4800.0,2200.0,GF,AMD,,,
200,Intel Xeon E7-8860 v3,CPU,2015-06-01,22.0,140.0,160.0,1400.0,2200.0,Intel,Intel,,,
201,Intel Xeon 5140,CPU,2006-06-26,65.0,65.0,,,2333.0,Intel,Intel,,,
202,AMD Phenom X4 9850 BE,CPU,2008-03-27,65.0,125.0,285.0,450.0,2500.0,Unknown,AMD,,,
203,AMD Ryzen 3 3100,CPU,2020-04-24,7.0,65.0,74.0,3800.0,3600.0,TSMC,AMD,,,
204,Intel Core i7-4940MX,CPU,2014-01-20,22.0,57.0,177.0,1400.0,3100.0,Intel,Intel,,,
205,Intel Core 2 Quad Q6600 (105W),CPU,2007-01-07,65.0,105.0,143.0,582.0,2400.0,Intel,Intel,,,
206,AMD Athlon 64 FX-62,CPU,2006-05-23,90.0,125.0,220.0,243.0,2800.0,Unknown,AMD,,,
207,AMD Athlon X2 7750 BE,CPU,2008-12-15,65.0,95.0,285.0,450.0,2700.0,Unknown,AMD,,,
208,Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,160.0,1400.0,2700.0,Intel,Intel,,,
209,Intel Core i3-4150T,CPU,2014-05-01,22.0,35.0,177.0,1400.0,2900.0,Intel,Intel,,,
210,Intel Atom N570,CPU,2011-03-01,45.0,9.0,87.0,176.0,1667.0,Intel,Intel,,,
211,Intel Core 2 Duo T7300,CPU,2006-07-27,65.0,35.0,143.0,293.0,2000.0,Intel,Intel,,,
212,Intel Atom E645C,CPU,2010-11-22,45.0,4.0,26.0,47.0,1000.0,Intel,Intel,,,
213,Intel Core i7-5820K,CPU,2014-09-01,22.0,140.0,356.0,2600.0,3300.0,Intel,Intel,,,
214,Intel Celeron E3400,CPU,2010-01-17,45.0,65.0,82.0,228.0,2600.0,Intel,Intel,,,
215,AMD FX-6120,CPU,2012-10-23,32.0,95.0,315.0,1200.0,3600.0,Unknown,AMD,,,
216,Intel Pentium G632,CPU,2011-09-04,32.0,65.0,131.0,504.0,2700.0,Intel,Intel,,,
217,Intel Pentium 4 HT 531,CPU,2005-06-12,90.0,84.0,109.0,125.0,3000.0,Intel,Intel,,,
218,AMD Opteron 248 HE,CPU,2005-03-01,90.0,55.0,,106.0,2200.0,Unknown,AMD,,,
219,AMD Opteron X2 290,CPU,2006-01-01,90.0,95.0,,233.0,2800.0,Unknown,AMD,,,
220,Intel Pentium 4 HT 3.20,CPU,2003-06-23,130.0,82.0,131.0,55.0,3200.0,Intel,Intel,,,
221,AMD Athlon II X4 610e,CPU,2010-05-11,45.0,45.0,169.0,300.0,2400.0,Unknown,AMD,,,
222,Intel Core i3-3110M,CPU,2012-06-01,22.0,35.0,118.0,,2400.0,Intel,Intel,,,
223,Intel Core i7-5550U,CPU,2015-03-01,14.0,15.0,,,2000.0,Intel,Intel,,,
224,AMD Sempron 2800+,CPU,2006-05-23,90.0,62.0,103.0,81.0,1600.0,Unknown,AMD,,,
225,AMD FX-9590,CPU,2013-07-06,32.0,220.0,315.0,1200.0,4700.0,Unknown,AMD,,,
226,Intel Pentium 4 2.0,CPU,2002-01-07,130.0,92.0,146.0,125.0,2000.0,Intel,Intel,,,
227,AMD EPYC 7443P,CPU,2021-03-15,7.0,200.0,,,2850.0,TSMC,AMD,,,
228,Intel Celeron G1620T,CPU,2013-09-01,22.0,35.0,94.0,,2400.0,Intel,Intel,,,
229,AMD Phenom II X6 1055T (95W),CPU,2010-05-01,45.0,95.0,346.0,904.0,2800.0,Unknown,AMD,,,
230,AMD A4-4000,CPU,2013-06-01,32.0,65.0,246.0,1178.0,3000.0,Unknown,AMD,,,
231,AMD Phenom X4 9650,CPU,2008-03-27,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
232,AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,,63.0,2083.0,Unknown,AMD,,,
233,Intel Core i5-4350U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1400.0,Intel,Intel,,,
234,AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,125.0,213.0,9600.0,3800.0,GF,AMD,,,
235,Intel Celeron B820,CPU,2012-07-01,32.0,35.0,131.0,504.0,1700.0,Intel,Intel,,,
236,Intel Xeon W3670,CPU,2010-08-29,32.0,130.0,239.0,1170.0,3200.0,Intel,Intel,,,
237,Intel Core i7-7740X,CPU,2017-06-26,14.0,112.0,,,4300.0,Intel,Intel,,,
238,Intel Core i7-4610M,CPU,2014-02-01,22.0,37.0,118.0,1300.0,3000.0,Intel,Intel,,,
239,AMD Opteron 6282 SE,CPU,2011-11-14,32.0,140.0,316.0,2400.0,2600.0,Unknown,AMD,,,
240,Intel Celeron N2805,CPU,2013-09-11,22.0,4.0,,,1463.0,Intel,Intel,,,
241,Intel Pentium 4 HT 631,CPU,2006-01-05,65.0,86.0,81.0,188.0,3000.0,Intel,Intel,,,
242,Intel Xeon L5609,CPU,2010-03-16,32.0,40.0,239.0,1170.0,1866.0,Intel,Intel,,,
